k,naive,max deg,min deg,G_max_rad,G_min_rad,max(c max),min(c max),max(c min),min(c min),cover
1,0.0221576,0.002929399999999971,0.002736399999999972,0.009675099999999937,0.007897199999999938,0.00804169999999993,0.006323599999999985,0.00848519999999997,0.008373600000000092,0.05241529999999994
2,0.04132049999999998,0.002910999999999997,0.0017677000000000387,0.009858400000000045,0.007570900000000047,0.009381799999999996,0.00945370000000001,0.010070899999999994,0.013462499999999933,0.06046839999999998
3,0.07050129999999999,0.003716900000000023,0.0020255999999999608,0.013035599999999925,0.009638000000000035,0.012790099999999915,0.009325199999999922,0.011600999999999972,0.013483799999999935,0.05392669999999988
4,0.10643480000000016,0.0036309000000001035,0.0019986000000000725,0.018177300000000063,0.010911400000000127,0.016840500000000036,0.011233800000000072,0.01447989999999999,0.018620400000000092,0.05293190000000014
5,0.15151930000000013,0.004880999999999913,0.0024720000000000297,0.02424599999999999,0.01280619999999999,0.02110499999999993,0.014073699999999967,0.0189724,0.021868600000000127,0.04985200000000001
6,0.21153559999999993,0.005652599999999897,0.003002799999999972,0.02962559999999992,0.014980199999999888,0.026804300000000003,0.014842799999999823,0.02549620000000008,0.02392050000000001,0.054463499999999776
7,0.28582090000000004,0.004611500000000213,0.0023320000000000007,0.033171199999999956,0.017685199999999845,0.030582899999999746,0.019329400000000163,0.033358199999999893,0.02934900000000029,0.05293260000000011
8,0.3117477000000002,0.00402250000000004,0.002680400000000027,0.03847889999999987,0.020294900000000116,0.03770819999999997,0.0204974,0.03865500000000033,0.033815800000000173,0.05360150000000008
