k,naive,max deg,min deg,G_max_rad,G_min_rad,max(c max),min(c max),max(c min),min(c min),cover
1,0.2253162013612262,0.2253162013612262,0.014810429275701533,0.2253162013612262,0.014810429275701533,0.2253162013612262,0.014810429275701533,0.2253162013612262,0.2253162013612262,0.2253162013612262
2,0.46258017479435704,0.25161659610664233,0.02918464645198026,0.25161659610664233,0.02918464645198026,0.25161659610664233,0.02918464645198026,0.2264014889426125,0.2653010713348601,0.22827660124272167
3,0.5895602396716909,0.2542433980393336,0.04432233474258266,0.2542433980393336,0.04432233474258266,0.2542433980393336,0.04432233474258266,0.25161659610664233,0.2672087746781938,0.2751445321502405
4,0.5975340569273686,0.25559785724204054,0.05721150040276892,0.25559785724204054,0.05721150040276892,0.25559785724204054,0.05721150040276892,0.26046254227121424,0.26841282697184654,0.27554400544427493
5,0.60424899526886,0.26268093427375083,0.07770302461616214,0.283116306901254,0.07215802476519814,0.283116306901254,0.07215802476519814,0.2653236939085446,0.2696917688128118,0.25229978660820634
6,0.6083087051761149,0.2629349975813524,0.13515063674502265,0.2834665379235089,0.08713625992420161,0.2850545310432312,0.08713625992420161,0.272915524396007,0.2704165406373303,0.25959974723226764
7,0.6146336226879309,0.28522902510764586,0.19339412577995493,0.28698177217445,0.12388425672974689,0.28522902510764586,0.1076799319152407,0.2871768233852045,0.27187604758153255,0.2874742375464356
8,0.6469648878649793,0.28797658899686557,0.20526875269839054,0.6144850192569591,0.16091626690479302,0.28797658899686557,0.12294561275343945,0.2877390041737879,0.2725381879092778,0.28980438915200185
9,0.652512151246951,0.3006982338542785,0.24960482663078626,0.6144850870613493,0.16759080462362974,0.3006982338542785,0.14338241199392135,0.2881814853548067,0.2730579260998162,0.30016463630678064
