k,naive,max deg,min deg,G_max_rad,G_min_rad,max(c max),min(c max),max(c min),min(c min),cover
1,0.4874809088348712,0.6289369631126633,0.17142334836853007,0.6289369631126633,0.17142334836853007,0.6289369631126633,0.17142334836853007,0.4874809088348712,0.4874809088348712,0.6289369631126633
2,0.891149549347494,1.0811024221919086,0.5345054015034463,1.1910718912222478,0.4176712623051718,1.1910718912222478,0.5345054015034463,0.891149549347494,0.9718264453280422,1.0518577052174323
3,1.4103829949259883,1.467215929835416,0.9626374799973225,1.467215929835416,0.666126853322604,1.467215929835416,0.9626374799973225,1.0984312289947382,1.5463663862248378,1.543810614217302
4,1.9366488543302738,1.662515319304621,1.3580457749048698,1.9323327924314524,0.9581925198253759,1.662515319304621,1.3580457749048698,1.5536012649267332,1.968764411668607,1.7928043880632272
5,2.225824632421308,2.047236636170605,1.9185982266815584,2.051311438278905,1.2428878845337639,2.047236636170605,1.5990877991729298,1.9968608557999146,2.3679492149534123,1.934028784490233
6,2.5529585171006284,2.113277455540341,2.423267506493007,2.2607254098032237,1.6646992472879805,2.113277455540341,1.9978242460789573,2.2618864942822055,3.0502973382484564,2.2618864942822055
7,2.8570334017789967,2.2033730868336816,2.6341633168854997,2.3410238257342506,1.9398578440779723,2.2845213317239383,2.6341633168854997,2.499231959813155,3.800810837497865,2.499231959813155
8,3.5737171857124306,2.2256784472749476,3.2958218547866807,2.697224362458354,2.1301828329165797,2.697224362437079,3.2958218547866807,2.555688145785488,4.40704355690117,2.6675199240276526
