k,naive,max deg,min deg,G_max_rad,G_min_rad,max(c max),min(c max),max(c min),min(c min),cover
16,55.64227260000001,0.004807900000002974,0.00838680000003933,0.16459090000000742,0.08816070000000309,0.14216989999999896,0.07752750000003061,0.16393189999996594,0.25233359999998584,0.07689010000001417
17,56.72353989999999,0.005667100000039227,0.0212671999999543,0.21906150000000935,0.09264899999999443,0.15176839999998037,0.08414570000002186,0.17810639999999012,0.2661066000000005,0.07429739999997764
18,58.83538150000004,0.00825889999998708,0.020006500000022243,0.25485959999997476,0.11114529999997558,0.16144639999998844,0.08888180000002421,0.18836859999998978,0.27600219999999354,0.062143300000002455
19,62.144736999999964,0.004558299999985138,0.01548090000000002,0.19400419999999485,0.10740159999994603,0.17000910000001568,0.09407480000004398,0.19639280000001236,0.2889847000000145,0.06233409999998685
20,67.29302299999995,0.005314399999974739,0.015617499999962092,0.2022234999999455,0.1445563999999422,0.2308155999999144,0.126715699999977,0.202303000000029,0.366929099999993,0.08065829999998186
21,69.52967430000001,0.012865099999999074,0.015641800000025796,0.28949949999991986,0.1431135999999924,0.18578580000007605,0.10350230000005922,0.21067410000000564,0.3137633999999707,0.059815500000013344
22,74.8936443,0.01299820000008367,0.01597069999991163,0.2617515000000594,0.16979680000008557,0.21521440000003622,0.11033129999998437,0.22028249999993932,0.3237785000000031,0.21620340000004035
23,77.84358889999999,0.013841099999922335,0.015698300000053678,0.22686180000005152,0.1419849000000113,0.19751420000000053,0.11369679999995697,0.2375729999999976,0.5135381999999709,0.158089700000005
24,81.60955089999993,0.015363200000024335,0.015424899999970876,0.23736750000000484,0.15940290000003188,0.3136431000000357,0.1938858999999411,0.37024250000001757,0.36472519999995257,0.14050670000005994
25,83.56697180000003,0.009063200000014149,0.015935000000013133,0.2449476000000459,0.17387650000000576,0.2160478000000694,0.1253319999999576,0.2504173999999466,0.3563766999999416,0.12211969999998473
26,86.77802419999989,0.012282700000014302,0.021590199999991455,0.2750487000000703,0.2970597999999427,0.326437199999873,0.14279259999989335,0.2606149999999161,0.3538096000002042,0.12743020000016259
27,83.9923655,0.009343400000034308,0.016206999999894833,0.24400270000001,0.2022385000000213,0.22141540000006898,0.15596530000016173,0.2978359000001092,0.4181447000000844,0.11126910000007229
28,85.70272309999996,0.008717600000181847,0.015893300000016097,0.24816169999985505,0.2130165000000943,0.24883130000011988,0.20756359999995766,0.3238177999999152,0.3621224999999413,0.1641799000001356
29,86.73702600000001,0.009279599999899801,0.0169556000000739,0.26236569999991843,0.2267163999999866,0.2347629999999299,0.18520809999995436,0.29148529999997663,0.37412590000008095,0.15730020000000877
30,88.46890910000002,0.008644600000025093,0.01596549999999297,0.2573053000000982,0.23745480000002317,0.23270630000001802,0.2029297999999926,0.3012505000001511,0.3747534999999971,0.16313320000017484
31,89.51582880000001,0.008004499999969994,0.007178599999861035,0.3263010000000577,0.41902279999999337,0.33229670000014266,0.21655039999996006,0.31730990000005477,0.385913999999957,0.14482720000000882
